,Component_1,Component_2,Component_3,Component_4,IntClustMemb
MB-0362,4.067337,12.211807,5.9405413,7.077092,2
MB-0312,3.8105576,12.594661,5.831467,7.0931377,2
MB-3298,3.927367,11.113731,4.568987,6.129993,3
MB-4743,4.077151,13.955178,3.7025695,5.9944615,4
MB-5148,4.149676,13.904461,3.1710718,6.425955,4
MB-4769,5.580989,13.126897,1.8140864,6.2588754,1
MB-7072,3.7838016,12.020999,5.0148153,6.4701552,1
MB-0597,3.6271634,13.523219,3.0893025,5.9048696,3
MB-2990,4.434171,11.413437,5.7974687,6.02264,8
MB-7130,4.843306,12.443767,5.133747,7.342677,9
MB-7232,3.8659143,12.7901125,6.0049896,6.5948086,8
MB-0116,3.274639,12.578346,4.0396113,7.101118,6
MB-2752,3.4830043,13.008891,4.7065053,6.730086,7
MB-5425,4.0904756,13.49499,5.3365116,6.945607,7
MB-5213,4.798573,13.528826,2.7464938,6.768719,5
MB-5584,4.4503293,12.848911,3.1821408,6.8286467,1
MB-5486,4.2290945,12.793714,5.699812,6.521739,9
MB-5575,4.8693585,12.1593275,4.4308157,6.4628544,1
MB-3035,3.590854,13.358536,4.622162,6.96614,7
MB-0404,4.190781,11.645805,5.543886,7.136266,8
MB-6146,4.313426,13.372841,4.096391,7.2945175,4
MB-0294,3.7002392,13.168581,2.574688,6.2331476,4
MB-7207,4.342649,13.062522,2.948332,6.9068894,1
MB-6192,4.5040007,13.443678,4.453444,7.4951696,6
MB-4697,4.910352,13.118238,5.203814,5.592474,3
MB-6020,4.7002096,13.318649,4.433178,5.956625,1
MB-4967,5.2527623,12.669202,5.899186,5.9307666,3
MB-4962,5.2917414,12.86098,6.3810425,6.1315985,8
MB-0112,3.685212,12.647425,4.0188327,6.51623,3
MB-2917,5.2782354,13.000401,1.302819,6.326303,10
MB-6018,4.9244695,11.537684,5.433349,6.5892243,8
MB-7099,3.570021,11.678137,5.2694345,5.953973,9
MB-4673,5.116132,12.459658,4.920462,6.9339495,9
MB-5358,4.5536366,12.085926,6.1078105,5.9371767,3
MB-0210,3.637691,13.293229,1.2075132,6.6851087,4
MB-0209,3.6549191,13.2859,1.2454455,6.6681256,4
MB-7280,3.6212213,12.722953,4.5094624,5.5559134,7
MB-5284,5.0794873,12.313666,6.1519895,6.243053,3
MB-4950,4.6378555,12.870643,5.9508233,6.6092205,3
MB-5295,5.750566,13.577629,1.7481056,6.0738587,10
MB-5271,4.667286,13.20803,5.749465,6.707033,9
MB-2616,3.532646,11.751963,3.4504578,6.2477894,4
MB-2912,5.231995,13.072887,1.3981475,6.2599435,10
MB-5394,5.1712112,14.137557,2.716094,6.678169,1
MB-0173,3.315081,12.120709,5.2118945,7.272935,7
MB-5396,5.249742,12.938635,5.5812545,6.9593167,9
MB-5293,4.9483614,12.370707,6.2264028,6.284857,3
MB-0544,3.5040991,11.567776,5.687503,6.792683,8
MB-0315,3.6597648,11.43014,4.7357297,7.005811,6
MB-7025,4.3444853,13.342316,1.7586788,6.69305,4
MB-7101,4.1861873,12.176845,5.0001354,5.8856745,3
MB-6007,5.2882338,13.497186,4.7239065,5.9315076,3
MB-2730,4.0568023,11.827314,4.160926,7.2443776,1
MB-5306,4.743849,13.908287,5.3753853,6.3279943,7
MB-4626,6.0710015,13.3432045,6.2948904,6.0799494,1
MB-4236,6.227193,13.768883,6.002614,6.001291,9
MB-0113,4.3003454,12.017862,4.5480933,6.1422057,5
MB-0421,4.013194,11.505143,4.9657936,7.2507024,5
MB-7292,4.104299,11.7520075,4.2929087,7.154528,6
MB-3600,3.8754845,12.687494,4.324595,7.753977,9
MB-3396,3.967019,11.892162,3.6950536,5.519176,3
MB-6042,5.2686806,13.290515,3.9970124,6.1327896,3
MB-7119,5.635898,13.747283,1.816993,6.320671,10
MB-0178,4.1390247,12.151071,4.600647,7.174956,1
MB-4603,6.253629,13.414576,6.4995713,5.7650547,8
MB-3235,4.0798707,11.837916,3.766135,5.8285575,5
MB-4851,4.076419,12.996616,5.746579,6.7286625,2
MB-5628,5.095201,12.568092,4.342399,6.0152493,5
MB-7196,3.8623483,11.997281,3.5069964,5.5227256,9
MB-5656,4.077519,13.811133,4.160732,6.1065097,3
MB-0406,3.3437157,12.493697,5.024858,6.9026837,2
MB-0384,3.648334,11.15993,5.4010944,6.6941257,8
MB-4716,5.671543,13.087296,5.2689166,6.2280207,3
MB-5599,4.688762,13.552178,5.0034738,7.54328,7
MB-5468,5.773611,13.394645,1.563006,6.238289,10
MB-0354,4.6783957,13.631993,2.1111622,6.9281178,4
MB-0623,3.5117805,13.319795,3.650659,6.450631,4
MB-5463,6.02157,13.517311,6.0505757,6.268661,9
MB-5078,5.193589,12.254451,6.1964936,6.3009205,5
MB-4189,6.3151765,13.817897,5.9731584,5.8876047,2
MB-0155,3.5655794,13.32015,2.5130396,6.1773467,4
MB-7230,4.514225,12.035843,4.5375876,5.741011,3
MB-3049,3.3062904,13.032925,3.7333434,6.2725344,7
MB-4771,4.8350725,13.016584,5.3425436,6.757807,8
MB-5652,3.8267858,13.801697,3.3124754,6.227423,4
MB-2797,3.4903579,12.391682,4.855828,6.6346035,6
MB-0512,4.274204,11.5215645,4.7436676,7.274694,9
MB-0613,4.130203,13.211013,1.9666972,6.662096,4
MB-6238,4.3245726,13.54065,4.6693277,7.5506516,7
MB-0580,3.7752297,12.881033,3.7729475,7.3503113,4
MB-0167,4.5370016,11.4250555,5.3255997,7.094832,9
MB-7228,4.161121,11.195875,4.6474786,6.33508,7
MB-0261,3.4915068,11.481181,5.726013,6.8716846,8
MB-5326,5.0870028,13.398294,5.322844,5.6145387,4
MB-5551,5.606071,13.345987,1.8161715,5.9897904,10
MB-7059,4.3801794,11.329066,4.080449,6.585798,5
MB-4942,5.270756,13.831188,1.7167268,6.7685513,10
MB-5453,3.9086688,13.8875885,3.2767818,5.9050145,4
MB-4760,3.9684222,13.48383,3.9702542,6.4044857,4
MB-0395,3.4804873,11.915199,4.872892,7.2319446,5
MB-5341,3.8320236,13.4943285,5.5621424,6.4103837,2
MB-0422,3.6207643,13.035151,5.1826816,7.132116,8
MB-5550,3.97458,12.885247,6.087355,6.482253,3
MB-0214,5.6285586,13.314152,1.7267814,6.082259,10
MB-0218,3.8562,12.946611,5.1372166,7.239775,1
MB-3702,4.31102,13.597083,2.4495654,6.0707455,10
MB-7200,3.9369168,11.454073,5.72603,6.057883,8
MB-5239,4.3179154,12.963525,5.457049,7.047017,9
MB-2749,3.3969903,11.713766,4.3800135,6.561317,3
MB-0479,4.285078,12.370508,3.4804215,6.805246,5
MB-5122,4.3364906,13.269313,5.823165,6.2223883,8
MB-7042,3.5574598,12.227575,5.304836,7.0797734,8
MB-7035,3.5927792,12.6129675,3.7288601,7.292032,5
MB-0339,2.5956032,12.977513,6.1202474,5.7513046,4
MB-5617,2.6972754,13.025385,6.0262666,5.8817625,4
MB-5384,4.8726735,13.262048,5.1348367,7.133151,1
MB-2711,3.4889596,11.683672,4.4126883,6.5622754,7
MB-5402,4.272403,13.649911,5.567702,6.751213,7
MB-2867,3.561418,11.693983,3.458053,5.534939,4
MB-6079,4.4570146,12.946873,4.8777776,7.5590954,9
MB-6327,4.4941535,13.847587,5.0127993,7.5327897,7
MB-6189,4.014739,13.094381,5.9010215,7.079776,7
MB-4145,4.97207,13.571391,4.8982697,6.004299,4
MB-4721,5.068692,12.649194,5.958698,5.6610446,8
MB-2933,3.6465085,11.620934,3.8239887,5.483646,3
MB-5160,4.215639,12.783441,6.052708,6.8437963,8
MB-7253,3.5479102,12.038401,4.3988295,6.8480496,3
MB-0380,4.0476727,12.549876,4.3194757,7.7109165,9
MB-3823,3.523571,11.692794,4.1195083,6.888783,3
MB-6281,3.5889919,12.758011,5.078914,6.6278176,6
MB-5420,4.579117,13.733717,3.3344104,6.213784,5
MB-0501,3.8951654,12.1654825,5.988875,6.8381324,8
MB-4853,4.895195,12.06978,5.8734765,6.0358286,8
MB-5114,5.259985,13.8118925,2.21719,6.617385,5
MB-4957,5.9391656,13.571142,6.279739,5.9119935,7
MB-4630,6.0453415,13.131434,6.4040937,5.755004,8
MB-5172,4.9967585,12.845706,4.199188,6.1696215,5
MB-5499,4.183587,13.54332,4.3437176,6.0228815,4
MB-3500,5.2413945,13.013699,1.3179854,6.3578835,10
MB-2725,3.5547423,13.544533,3.0538867,5.920345,4
MB-7045,3.9362044,13.710821,3.20634,6.5994906,4
MB-2792,4.014737,12.288023,3.2741783,6.7254624,9
MB-0166,4.18206,13.679063,4.1698475,5.7525163,4
MB-6143,4.6560864,13.150299,2.0681221,5.99224,9
MB-7015,4.0145183,11.204029,4.2486415,6.699633,8
MB-7078,4.158234,13.136238,2.022787,6.6895924,10
MB-7096,4.192208,12.915969,5.0654397,5.4596014,3
MB-5057,5.603334,13.364965,1.6916243,6.1822834,10
MB-0000,3.4957776,13.563093,2.6631489,6.028306,4
MB-5227,4.304523,13.344955,4.7072186,6.8438134,4
MB-7123,3.880497,12.74864,5.183325,5.5149655,1
MB-5050,4.529064,12.918027,6.0185776,6.302902,3
MB-5206,4.005611,13.818777,4.1446457,6.074499,2
MB-2999,4.0738406,13.165449,5.0904703,6.1060576,7
MB-7162,3.793616,12.678797,5.4218297,5.837364,3
MB-5212,4.773876,11.720007,5.2158613,6.8503757,5
MB-0095,4.040336,12.798119,6.106282,6.4187245,8
MB-6141,4.9844675,12.772968,6.0059257,6.0244665,8
MB-3006,3.8633988,12.772116,2.5929859,6.111238,4
MB-5214,4.388103,14.058846,3.4866242,6.081993,2
MB-4828,4.122397,12.585151,5.2902846,6.002293,1
MB-7076,2.999855,12.782202,5.745128,5.8406863,7
MB-7082,4.497618,12.992801,4.9272447,5.528962,5
MB-0264,3.6093576,12.8655,4.1847124,7.465208,9
MB-5033,4.1638284,13.782304,5.661463,6.324971,1
MB-5264,5.2371273,12.082704,5.999662,6.090608,8
MB-0375,5.5860176,12.8156,1.5991186,6.4669747,10
MB-0204,3.291691,12.090848,4.302011,7.0539246,3
MB-5382,4.6425014,13.8540945,5.302859,6.924597,7
MB-6231,5.9651732,13.56341,6.0664263,5.90925,3
MB-4825,4.5554028,11.914843,5.9243884,6.207412,8
MB-4937,4.555133,11.844791,4.323094,7.2602587,6
MB-3466,3.7034707,11.878292,4.4437933,6.9170294,2
MB-3850,3.4208019,12.370447,3.6529305,6.4985414,4
MB-7233,4.5944552,12.962377,5.9111867,6.221275,8
