,Component_1,Component_2,Component_3,Component_4,IntClustMemb
MB-4666,5.4977493,4.0566444,9.238402,3.8138528,7
MB-2851,3.1347976,3.6396978,10.175092,2.4221244,4
MB-5366,4.140319,3.3477836,8.551789,3.6692224,5
MB-5341,5.4396877,4.379867,9.285794,3.8703284,2
MB-0358,5.223124,3.0969746,9.557095,2.3173041,9
MB-7276,4.594229,5.3460045,8.810947,3.4502168,8
MB-0227,4.160935,4.9164906,9.285811,1.8655704,8
MB-0659,4.7386765,2.6443107,10.371342,3.7914772,4
MB-6092,4.1334534,3.549653,8.840189,4.0707307,3
MB-5201,4.8523903,5.02724,9.124093,4.089757,8
MB-4098,4.5286703,4.3083806,7.6045113,5.4836416,7
MB-4313,4.395881,4.3516126,7.3398666,5.5858393,4
MB-7193,3.8381279,3.9595897,9.963689,1.9034468,6
MB-6317,4.3512135,5.028934,8.5826435,2.736452,2
MB-5018,3.4863334,5.056287,9.203881,2.3820355,8
MB-5260,5.4913683,4.463336,9.269364,4.086288,7
MB-7234,4.7635612,4.8196554,9.265701,4.1951966,6
MB-4741,4.2542853,5.2705035,8.250393,3.8975072,8
MB-5219,5.0273566,3.2622879,9.977462,3.8793468,4
MB-6330,4.540784,1.2473075,9.1239605,3.1228714,4
MB-7165,3.1373773,0.5876596,9.28005,2.7731428,10
MB-2931,4.071269,4.442074,9.380262,1.7582824,8
MB-4598,4.2689137,5.0448403,8.090256,4.4755535,8
MB-5001,5.255852,4.2464786,9.699327,3.5415955,4
MB-5186,4.765167,3.0852728,9.530594,3.86298,6
MB-3013,3.4693415,3.797004,10.310915,2.0326242,4
MB-5567,4.675913,4.5832944,8.666464,3.6435008,3
MB-0231,4.727472,4.2794023,9.728344,2.9929068,3
MB-4998,4.048516,5.6130004,8.634946,3.4583793,8
MB-2867,3.1829019,3.6361597,10.385184,2.237801,4
MB-0253,5.3490467,5.3985887,10.632988,3.7093685,4
MB-0242,4.4749804,4.92417,8.916123,2.156883,8
MB-2669,4.6303396,3.0696337,9.550492,2.377279,6
MB-2842,3.31093,1.1369579,9.642331,2.4968922,9
MB-0606,5.0193257,5.4064956,10.181566,3.1973634,3
MB-6125,4.7141423,2.6989706,10.357608,3.077253,4
MB-5208,3.7062795,0.6677575,8.721348,3.1581328,10
MB-0372,3.0514708,0.61052203,9.139017,2.8538115,10
MB-6280,3.2597585,0.5944601,9.366157,2.793986,10
MB-4278,4.335186,3.766523,7.693285,5.2175007,3
MB-0270,4.812456,5.0190964,9.808812,3.0914862,10
MB-7114,3.3746097,0.907826,9.351424,2.9809675,10
MB-5137,3.4780195,0.6135056,8.926995,3.1602645,10
MB-4578,4.7477207,4.188722,7.998839,5.1118813,7
MB-6124,4.506877,4.445877,10.217386,3.0550547,3
MB-7011,3.881195,5.2562428,9.706146,2.3739114,9
MB-7144,3.6980307,4.138287,9.653565,3.0493603,8
MB-0348,4.563748,5.659887,9.369835,2.5638366,8
MB-3752,4.2922173,0.93261826,8.9939575,3.1023004,4
MB-2984,3.7444186,4.4906034,8.969866,1.9044156,9
MB-6044,4.2189636,3.7714076,8.133133,4.7881565,6
MB-5410,4.318093,4.426908,7.69888,5.1871276,8
MB-4126,4.4670367,3.8394732,7.666763,5.3063393,7
MB-4710,4.2304854,4.211505,9.172642,4.3856926,3
MB-5486,4.8831887,5.114817,8.916935,3.483462,9
MB-2843,3.0396364,3.8291607,10.279462,2.276751,2
MB-6068,3.2323542,0.7504321,9.716409,3.0529966,4
MB-0601,4.4484153,4.1077776,9.13488,1.9450796,10
MB-4310,4.4273076,4.344375,7.4664607,5.476971,7
MB-7283,4.0569324,4.5792327,9.395351,3.743043,6
MB-0209,4.059418,1.0786024,10.728626,1.9867249,4
MB-0664,3.4346893,0.76120025,9.422028,3.2290685,10
MB-7004,4.5301127,5.2846437,9.023271,3.0947971,8
MB-3417,5.5792193,4.7724304,9.321939,3.4407494,7
MB-4375,4.322548,4.1646028,7.7244086,5.2301626,3
MB-4698,4.2656255,3.8390317,8.987915,4.1423197,3
MB-7173,4.1289444,4.161998,9.490529,3.7093933,8
MB-4925,3.9467316,4.2631464,8.76768,3.5964453,7
MB-4834,4.71531,3.0307574,8.814895,3.6702418,1
MB-3085,4.313345,2.7125762,10.670755,3.0436301,4
MB-5599,5.5711727,3.5453012,8.300477,3.2629964,7
MB-0590,5.6617937,3.7600198,8.484993,2.890301,9
MB-7031,2.9520278,0.59383184,9.168211,2.7268698,10
MB-5152,5.5916467,4.243597,9.169044,3.8507717,7
MB-4303,4.2867274,3.6670833,7.8211536,5.1865764,4
MB-4801,3.3526247,4.708326,9.189901,2.4965222,8
MB-0284,3.561425,1.1772057,9.828006,2.917567,10
MB-4317,4.3834834,3.9159777,7.7297053,5.003261,5
MB-7008,3.9495842,2.4152672,10.114708,3.3135846,4
MB-5409,4.1640677,1.7759959,8.980561,3.1266305,5
MB-7236,5.230913,5.563166,10.321415,3.4328315,8
MB-2838,3.2947538,4.653423,9.58941,2.2519364,8
MB-6163,4.781504,4.867525,9.020515,4.223825,8
MB-2833,4.1153193,0.9376332,9.291531,2.8058648,10
MB-4627,4.8443437,4.3996925,9.138077,3.824799,3
MB-4667,4.3024693,3.4272382,8.089685,4.906201,4
MB-4254,3.5910964,0.56651103,9.134187,3.0831141,10
MB-5261,4.880178,4.3980255,9.174187,4.2385426,4
MB-0000,4.5135603,2.258267,10.837957,3.0079901,4
MB-5550,5.263589,5.044556,9.301465,3.7153943,3
MB-4602,5.5922675,3.9205687,8.257941,3.8973658,1
MB-5404,4.055012,4.7876773,8.006384,4.4559493,8
MB-4800,3.8967652,5.2101507,8.174867,3.2323496,6
MB-0582,2.9821186,0.9479994,8.782301,3.2161276,10
MB-0083,4.329701,8.740041,6.160132,-0.4193431,2
MB-5335,3.1476016,0.7739309,9.16156,3.2186294,10
MB-6113,4.1534233,2.927036,9.840391,3.313959,5
MB-0446,4.479748,3.7727115,9.428453,1.6545646,10
MB-4564,5.5158563,3.6390057,8.035783,4.1482434,7
MB-5497,5.0694447,4.0715013,8.876814,2.7688313,1
MB-4654,4.1145053,4.5140324,7.9768114,4.6037126,8
MB-5554,5.5449066,3.7866108,9.598785,3.2272274,2
MB-0587,5.4499116,4.1375866,9.624391,3.0200143,9
MB-4222,4.410645,4.3905883,7.3882546,5.5314517,8
MB-4173,5.4442377,4.313672,8.89084,4.2647657,7
MB-4276,4.5854616,4.979584,8.15154,3.3024945,5
MB-7235,4.2953353,5.486864,8.644602,3.5428064,8
MB-0538,5.014509,3.9293907,8.767775,2.0088983,9
MB-0171,5.543452,3.4306107,9.655045,2.8884652,4
MB-0382,4.571753,3.1973734,10.031206,3.1788018,3
MB-3088,5.7045546,4.29203,8.965484,4.0521884,7
MB-0169,4.567965,2.679327,10.321278,3.4123328,4
MB-5348,3.2364323,0.83391595,9.337736,3.0306823,10
MB-0220,4.418403,1.0849463,9.495376,2.7867243,4
MB-0054,4.3345227,8.749947,6.1507645,-0.4273591,10
MB-4146,4.3670754,3.6015844,7.661549,5.293874,4
MB-4360,4.416688,3.6589122,7.644513,5.315227,5
MB-5299,3.6472685,0.98414934,9.235361,3.4474819,10
MB-7285,4.4790144,3.8039138,9.945132,1.9356934,6
MB-7045,3.9765193,2.388582,10.022691,3.528382,4
MB-0272,4.6293726,5.283244,9.443303,2.524795,8
MB-7243,4.3170986,5.38906,8.6204195,3.170641,8
MB-0124,4.32213,5.2880297,8.784316,2.3872547,8
MB-6101,4.5979743,4.9483757,8.144914,3.548735,7
MB-4292,4.304517,4.563375,7.603305,5.1816816,8
MB-5310,4.873586,4.8887477,8.980459,4.1516123,3
MB-7030,4.7079,2.5249183,10.380894,3.5800347,4
MB-0108,4.3301353,8.741677,6.158917,-0.41924956,4
MB-4969,5.707056,3.9853117,8.753833,3.8085608,7
MB-3007,4.08039,3.723845,9.55207,3.803448,2
MB-4697,4.177026,4.128471,9.053068,4.443853,3
MB-7164,4.4820457,4.80615,9.76553,3.7149525,3
MB-2795,4.3568287,4.4195232,9.281324,1.8469924,1
MB-7148,4.2416716,4.602365,9.707601,3.6065388,8
MB-6160,4.2339706,1.2957575,8.868042,3.0494382,9
MB-5166,4.468564,3.5089366,8.550875,4.207808,5
