,Component_1,Component_2,Component_3,Component_4,IntClustMemb
MB-6152,2.5728052,1.9620032,10.863668,3.0107758,10
MB-0100,2.7512345,1.5537761,11.4806795,3.148315,10
MB-0642,2.1136446,0.5778188,10.137695,1.1960766,8
MB-0242,2.666867,1.1413068,10.120597,1.4712057,8
MB-5656,2.1368506,0.39741516,10.899685,2.7696364,3
MB-0589,2.296634,0.79148346,10.107114,1.4153594,5
MB-7018,2.4011474,1.0267829,11.215067,1.9399616,9
MB-0211,2.1164181,1.4280074,11.32206,2.2542498,9
MB-0616,2.806512,0.91457266,10.091166,1.5420133,7
MB-5027,3.2036414,0.554147,10.112042,2.1877728,3
MB-0383,2.2054217,1.0102102,10.74497,2.5054727,1
MB-0345,1.6018797,0.88947695,10.827204,2.2392588,3
MB-4426,3.1709337,0.4482864,9.549924,3.4653404,7
MB-0176,1.6444631,1.2128127,10.554569,2.203145,1
MB-0368,1.5822498,0.8190567,10.422604,1.8921461,2
MB-4827,2.8534343,0.05507876,9.89889,1.8600184,3
MB-0421,2.6488278,1.148966,9.987429,1.6494797,5
MB-4828,2.4957688,0.2895791,10.362897,2.0584543,1
MB-2764,2.2374163,1.0207372,11.837533,2.6395307,4
MB-6281,1.6748704,0.5240584,10.305278,2.2473435,6
MB-3079,2.984763,0.57306194,10.271889,1.532836,8
MB-6001,3.0052423,0.6084912,10.647095,2.8274906,3
MB-0222,1.9051327,1.4746585,10.910941,2.5884852,4
MB-0510,2.0709994,1.4723402,10.15112,2.0842612,9
MB-2765,2.5841758,0.84976506,10.859043,1.2411546,3
MB-2626,2.61348,1.2327285,10.928507,1.2138162,5
MB-6263,2.280557,0.7706064,10.803832,2.8083856,4
MB-2735,2.5883334,1.1547561,10.613639,1.5555928,6
MB-0569,1.9518125,1.444763,10.937619,2.0232594,4
MB-5395,3.2667527,0.15733896,9.945222,2.3165476,3
MB-5278,2.2202578,0.47964585,11.238604,3.0144048,4
MB-5428,2.208161,0.4570433,10.562669,3.0982947,4
MB-6237,3.0310142,1.508854,11.389728,2.917754,10
MB-4872,2.8668938,0.49030352,10.810094,2.4380057,3
MB-4883,1.7229327,0.8989836,11.05509,2.3253405,7
MB-0513,1.7590153,-0.093464315,10.615663,1.6927261,9
MB-0036,2.1434102,-0.07552652,10.518628,1.9524112,3
MB-4639,2.5918963,0.59599966,9.64486,2.4183757,9
MB-4651,2.328452,1.281028,10.483397,2.5691442,6
MB-0614,2.1143522,1.5524895,10.434643,2.2800593,6
MB-0462,2.418825,1.8808825,10.9617605,2.9839022,5
MB-0128,2.7173424,0.76206553,11.056082,2.601786,3
MB-0316,3.0689468,1.9710294,11.052821,3.0404546,10
MB-5593,2.8724747,1.2229141,10.598408,3.450887,5
MB-4823,2.6704624,1.2073328,11.466,2.2349455,5
MB-7095,2.1224425,0.37860453,10.003724,1.5503671,8
MB-3181,1.7232964,0.8485381,10.441159,2.275198,2
MB-5259,2.7157457,1.2746044,10.656839,3.286836,5
MB-3381,2.2547126,1.4529784,10.346236,1.8199627,7
MB-7009,3.084685,1.5793945,11.101791,2.0314028,10
MB-0285,2.073384,1.139645,11.903058,2.7191226,4
MB-6080,2.500303,1.7830998,11.11521,3.5431397,4
MB-7065,1.5780176,0.84049135,10.132224,2.6338203,9
MB-4750,3.076134,0.46436414,9.767746,2.1161036,8
MB-3383,2.9922035,1.4274094,11.035438,2.1293147,10
MB-4266,2.2448566,0.3703373,10.048789,3.023406,6
MB-7082,2.844351,0.49837494,10.768677,2.5529988,5
MB-0188,2.4171903,1.1690303,11.033242,1.9225163,3
MB-5100,3.1254652,1.9001185,11.206411,2.81247,10
MB-7168,1.5384793,0.8066193,10.716352,2.3574662,7
