,Component_1,Component_2,Component_3,Component_4,label
0,5.4977493,4.0566444,9.238402,3.8138528,4
1,3.1347976,3.6396978,10.175092,2.4221244,5
2,4.140319,3.3477836,8.551789,3.6692224,9
3,5.4396877,4.379867,9.285794,3.8703284,6
4,5.223124,3.0969746,9.557095,2.3173041,6
5,4.594229,5.3460045,8.810947,3.4502168,10
6,4.160935,4.9164906,9.285811,1.8655704,9
7,4.7386765,2.6443107,10.371342,3.7914772,8
8,4.1334534,3.549653,8.840189,4.0707307,3
9,4.8523903,5.02724,9.124093,4.089757,9
10,4.5286703,4.3083806,7.6045113,5.4836416,8
11,4.395881,4.3516126,7.3398666,5.5858393,6
12,3.8381279,3.9595897,9.963689,1.9034468,8
13,4.3512135,5.028934,8.5826435,2.736452,5
14,3.4863334,5.056287,9.203881,2.3820355,7
15,5.4913683,4.463336,9.269364,4.086288,3
16,4.7635612,4.8196554,9.265701,4.1951966,3
17,4.2542853,5.2705035,8.250393,3.8975072,3
18,5.0273566,3.2622879,9.977462,3.8793468,10
19,4.540784,1.2473075,9.1239605,3.1228714,8
20,3.1373773,0.5876596,9.28005,2.7731428,4
21,4.071269,4.442074,9.380262,1.7582824,6
22,4.2689137,5.0448403,8.090256,4.4755535,1
23,5.255852,4.2464786,9.699327,3.5415955,4
24,4.765167,3.0852728,9.530594,3.86298,2
25,3.4693415,3.797004,10.310915,2.0326242,4
26,4.675913,4.5832944,8.666464,3.6435008,3
27,4.727472,4.2794023,9.728344,2.9929068,10
28,4.048516,5.6130004,8.634946,3.4583793,8
29,3.1829019,3.6361597,10.385184,2.237801,7
30,5.3490467,5.3985887,10.632988,3.7093685,7
31,4.4749804,4.92417,8.916123,2.156883,4
32,4.6303396,3.0696337,9.550492,2.377279,4
33,3.31093,1.1369579,9.642331,2.4968922,5
34,5.0193257,5.4064956,10.181566,3.1973634,4
35,4.7141423,2.6989706,10.357608,3.077253,7
36,3.7062795,0.6677575,8.721348,3.1581328,3
37,3.0514708,0.61052203,9.139017,2.8538115,10
38,3.2597585,0.5944601,9.366157,2.793986,2
39,4.335186,3.766523,7.693285,5.2175007,4
40,4.812456,5.0190964,9.808812,3.0914862,7
41,3.3746097,0.907826,9.351424,2.9809675,5
42,3.4780195,0.6135056,8.926995,3.1602645,4
43,4.7477207,4.188722,7.998839,5.1118813,7
44,4.506877,4.445877,10.217386,3.0550547,10
45,3.881195,5.2562428,9.706146,2.3739114,4
46,3.6980307,4.138287,9.653565,3.0493603,3
47,4.563748,5.659887,9.369835,2.5638366,5
48,4.2922173,0.93261826,8.9939575,3.1023004,5
49,3.7444186,4.4906034,8.969866,1.9044156,4
50,4.2189636,3.7714076,8.133133,4.7881565,3
51,4.318093,4.426908,7.69888,5.1871276,1
52,4.4670367,3.8394732,7.666763,5.3063393,7
53,4.2304854,4.211505,9.172642,4.3856926,9
54,4.8831887,5.114817,8.916935,3.483462,8
55,3.0396364,3.8291607,10.279462,2.276751,6
56,3.2323542,0.7504321,9.716409,3.0529966,4
57,4.4484153,4.1077776,9.13488,1.9450796,5
58,4.4273076,4.344375,7.4664607,5.476971,1
59,4.0569324,4.5792327,9.395351,3.743043,4
60,4.059418,1.0786024,10.728626,1.9867249,7
61,3.4346893,0.76120025,9.422028,3.2290685,3
