,ftmap,N_classes,Bandwidth,test_error,train_error,s,geom_distance,concentration,optimize,C
0,rbf,10_classes,0.39,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335,False,1.0
1,rbf,10_classes,0.79,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335,False,1.0
2,rbf,10_classes,1.57,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335,False,1.0
3,rbf,10_classes,3.14,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335,False,1.0
4,rbf,10_classes,6.28,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335,False,1.0
5,rbf,4_classes,0.39,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625,False,1.0
6,rbf,4_classes,0.79,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625,False,1.0
7,rbf,4_classes,1.57,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625,False,1.0
8,rbf,4_classes,3.14,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625,False,1.0
9,rbf,4_classes,6.28,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625,False,1.0
10,ZZ_full,10_classes,0.39,0.4066666666666667,0.4772727272727273,30313.234918752176,22.78957485236901,0.05594027638841374,False,1.0
11,ZZ_full,10_classes,0.79,0.41333333333333333,0.5727272727272728,26092.91158769046,21.708900715289293,0.032816297554956415,False,1.0
12,ZZ_full,10_classes,1.57,0.36666666666666664,0.7045454545454546,20183.53562464542,21.205648407681,0.014389812085532274,False,1.0
13,ZZ_full,10_classes,3.14,0.26666666666666666,0.8681818181818182,22173.344630627987,21.52565264980691,0.006621237101695525,False,1.0
14,ZZ_full,10_classes,6.28,0.20666666666666667,0.8681818181818182,15809.219304861177,19.38497900735975,0.005260367869781601,False,1.0
15,ZZ_full,4_classes,0.39,0.8263888888888888,0.8363636363636363,13498.93216605636,23.283732191784242,0.049719701004904596,False,1.0
16,ZZ_full,4_classes,0.79,0.7847222222222222,0.8363636363636363,9613.863921583683,21.745131221966062,0.027375427705629826,False,1.0
17,ZZ_full,4_classes,1.57,0.7291666666666666,0.8454545454545455,7739.142629961314,17.262946079742964,0.011830053388783427,False,1.0
18,ZZ_full,4_classes,3.14,0.6111111111111112,0.8681818181818182,8118.885404928884,18.239203124528697,0.006246721556359912,False,1.0
19,ZZ_full,4_classes,6.28,0.3888888888888889,0.8636363636363636,10613.39508564121,21.3182973988984,0.00532429942259398,False,1.0
20,ZZ_linear,10_classes,0.39,0.37333333333333335,0.41818181818181815,30227.448753669705,28.5919872204178,0.07516743257129849,False,1.0
21,ZZ_linear,10_classes,0.79,0.41333333333333333,0.4590909090909091,29195.347874105624,23.68382229367389,0.07163797821820472,False,1.0
22,ZZ_linear,10_classes,1.57,0.34,0.6,22033.704345520033,26.100417950951368,0.02514678064903898,False,1.0
23,ZZ_linear,10_classes,3.14,0.22,0.740909090909091,21183.00315976949,25.71687545986403,0.010347391243868184,False,1.0
