,ftmap,K,Bandwidth,s,geom_distance,concentration,silhouette,Score_cluster,v_intra,v_inter,N_samples
0,rbf,2,0.125,19176.57301872474,1.4132057340713178,0.04745546574759885,0.26894477519492643,0.26737554670677965,0.046615224421829846,0.00024924405163857994,100
1,rbf,3,0.125,19176.57301872474,1.4132057340713178,0.04745546574759885,0.21757892010907726,0.22054996803867366,0.04794487530216033,0.028407325903944118,100
2,rbf,4,0.125,19176.57301872474,1.4132057340713178,0.04745546574759885,0.22858523144106652,0.2713300724146144,0.05116906195947769,0.030078340173554038,100
3,rbf,5,0.125,19176.57301872474,1.4132057340713178,0.04745546574759885,0.21224345695212737,0.3086453074493636,0.04627470265817093,0.03148968705799943,100
4,rbf,6,0.125,19176.57301872474,1.4132057340713178,0.04745546574759885,0.20416833317909067,0.28777481768876423,0.0483020269215709,0.03164464718470838,100
5,rbf,7,0.125,19176.57301872474,1.4132057340713178,0.04745546574759885,0.20393101710942438,0.31903220264293897,0.052460811936008975,0.03260942765074516,100
6,rbf,8,0.125,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2369083245121446,0.3730951791902791,0.04750625768590351,0.03089894536408269,100
7,rbf,9,0.125,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2576471828861278,0.4241441870741224,0.040488980186387684,0.03134850219588001,100
8,rbf,10,0.125,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2552931507899945,0.4361680201021565,0.039732447141148736,0.03217045621304106,100
9,rbf,2,0.25,19176.57301872474,1.4132057340713178,0.04745546574759885,0.26894477519492643,0.26737554670677965,0.046615224421829846,0.00024924405163857994,100
10,rbf,3,0.25,19176.57301872474,1.4132057340713178,0.04745546574759885,0.21757892010907726,0.22054996803867366,0.04794487530216033,0.028407325903944118,100
11,rbf,4,0.25,19176.57301872474,1.4132057340713178,0.04745546574759885,0.22858523144106652,0.2713300724146144,0.05116906195947769,0.030078340173554038,100
12,rbf,5,0.25,19176.57301872474,1.4132057340713178,0.04745546574759885,0.21224345695212737,0.3086453074493636,0.04627470265817093,0.03148968705799943,100
13,rbf,6,0.25,19176.57301872474,1.4132057340713178,0.04745546574759885,0.20416833317909067,0.28777481768876423,0.0483020269215709,0.03164464718470838,100
14,rbf,7,0.25,19176.57301872474,1.4132057340713178,0.04745546574759885,0.20393101710942438,0.31903220264293897,0.052460811936008975,0.03260942765074516,100
15,rbf,8,0.25,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2369083245121446,0.3730951791902791,0.04750625768590351,0.03089894536408269,100
16,rbf,9,0.25,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2576471828861278,0.4241441870741224,0.040488980186387684,0.03134850219588001,100
17,rbf,10,0.25,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2552931507899945,0.4361680201021565,0.039732447141148736,0.03217045621304106,100
18,rbf,2,0.5,19176.57301872474,1.4132057340713178,0.04745546574759885,0.26894477519492643,0.26737554670677965,0.046615224421829846,0.00024924405163857994,100
19,rbf,3,0.5,19176.57301872474,1.4132057340713178,0.04745546574759885,0.21757892010907726,0.22054996803867366,0.04794487530216033,0.028407325903944118,100
20,rbf,4,0.5,19176.57301872474,1.4132057340713178,0.04745546574759885,0.22858523144106652,0.2713300724146144,0.05116906195947769,0.030078340173554038,100
21,rbf,5,0.5,19176.57301872474,1.4132057340713178,0.04745546574759885,0.21224345695212737,0.3086453074493636,0.04627470265817093,0.03148968705799943,100
22,rbf,6,0.5,19176.57301872474,1.4132057340713178,0.04745546574759885,0.20416833317909067,0.28777481768876423,0.0483020269215709,0.03164464718470838,100
23,rbf,7,0.5,19176.57301872474,1.4132057340713178,0.04745546574759885,0.20393101710942438,0.31903220264293897,0.052460811936008975,0.03260942765074516,100
24,rbf,8,0.5,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2369083245121446,0.3730951791902791,0.04750625768590351,0.03089894536408269,100
25,rbf,9,0.5,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2576471828861278,0.4241441870741224,0.040488980186387684,0.03134850219588001,100
26,rbf,10,0.5,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2552931507899945,0.4361680201021565,0.039732447141148736,0.03217045621304106,100
27,rbf,2,1.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.26894477519492643,0.26737554670677965,0.046615224421829846,0.00024924405163857994,100
28,rbf,3,1.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.21757892010907726,0.22054996803867366,0.04794487530216033,0.028407325903944118,100
29,rbf,4,1.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.22858523144106652,0.2713300724146144,0.05116906195947769,0.030078340173554038,100
30,rbf,5,1.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.21224345695212737,0.3086453074493636,0.04627470265817093,0.03148968705799943,100
31,rbf,6,1.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.20416833317909067,0.28777481768876423,0.0483020269215709,0.03164464718470838,100
32,rbf,7,1.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.20393101710942438,0.31903220264293897,0.052460811936008975,0.03260942765074516,100
33,rbf,8,1.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2369083245121446,0.3730951791902791,0.04750625768590351,0.03089894536408269,100
34,rbf,9,1.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2576471828861278,0.4241441870741224,0.040488980186387684,0.03134850219588001,100
35,rbf,10,1.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.2552931507899945,0.4361680201021565,0.039732447141148736,0.03217045621304106,100
36,rbf,2,2.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.26894477519492643,0.26737554670677965,0.046615224421829846,0.00024924405163857994,100
37,rbf,3,2.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.21757892010907726,0.22054996803867366,0.04794487530216033,0.028407325903944118,100
38,rbf,4,2.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.22858523144106652,0.2713300724146144,0.05116906195947769,0.030078340173554038,100
39,rbf,5,2.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.21224345695212737,0.3086453074493636,0.04627470265817093,0.03148968705799943,100
40,rbf,6,2.0,19176.57301872474,1.4132057340713178,0.04745546574759885,0.20416833317909067,0.28777481768876423,0.0483020269215709,0.03164464718470838,100
